channel,depth_m,h00,h01,h02,h03,h04,h05,h06,h07,h08,h09,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
1221,53.5,2.0740,1.9740,1.8276,1.7162,1.8139,1.7617,1.7604,1.9072,1.9200,1.7545,1.7870,3.1585,1.7602,1.7929,1.8680,2.1967,1.8167,1.7120,1.8768,2.1540,1.7711,1.6856,1.7818,1.6985
1222,57.6,2.0178,1.9308,1.9265,1.7896,1.9329,1.8097,1.8720,1.9328,1.8642,1.7366,1.8025,3.0113,1.9304,1.9472,1.9765,2.1785,1.8484,1.7760,1.8017,2.0708,1.7003,1.6331,1.7785,1.7016
1223,61.7,1.9347,1.8180,1.8552,1.8948,1.9373,1.8768,1.7308,1.7518,1.7145,1.5942,1.6719,2.9084,1.7197,1.7517,1.7974,2.0834,1.7389,1.6334,1.7424,1.9722,1.6394,1.5481,1.6787,1.5939
1224,65.8,1.8129,1.7517,1.6756,1.7826,1.9062,1.8586,1.6006,1.6724,1.7029,1.5360,1.5867,2.6780,1.5743,1.5789,1.6489,1.9644,1.6603,1.5422,1.6372,1.8874,1.5863,1.5130,1.5760,1.5220
1225,69.9,1.6758,1.7119,1.5796,1.6345,1.8635,1.7738,1.5566,1.6095,1.6781,1.5590,1.5639,2.4194,1.5099,1.5157,1.5967,1.8843,1.6414,1.5405,1.6715,1.8069,1.6094,1.5170,1.5896,1.5683
1226,74.0,1.7365,1.7510,1.5534,1.5279,1.7810,1.5724,1.5278,1.7308,1.7835,1.6658,1.6174,2.4605,1.5553,1.5982,1.6520,1.9367,1.7123,1.4668,1.6637,1.9296,1.7088,1.6443,1.5901,1.6016
1227,78.1,1.8543,1.8452,1.6940,1.6946,1.7617,1.6635,1.5947,1.7516,1.7407,1.6466,1.6709,2.8119,1.7028,1.7020,1.7754,2.0614,1.7713,1.5704,1.7325,1.9971,1.6973,1.5885,1.6524,1.5935
1228,82.2,1.9221,1.8945,1.7889,1.7250,1.7309,1.7196,1.6909,1.8099,1.8213,1.6954,1.7231,2.9755,1.7641,1.7639,1.7823,2.0849,1.8337,1.6152,1.8111,2.0576,1.7284,1.6283,1.7059,1.6508
1229,86.4,1.8303,1.8871,1.7871,1.6727,1.7304,1.7274,1.6682,1.8159,1.7585,1.6633,1.7491,2.9079,1.7080,1.7343,1.8086,2.1260,1.8218,1.6568,1.8575,2.0008,1.6909,1.5835,1.7315,1.6454
1230,90.5,1.8633,1.9735,1.8074,1.6681,1.8407,1.8137,1.8464,2.0009,1.8035,1.7983,1.9227,2.9164,2.1376,2.0653,2.0041,2.3292,1.9089,1.8392,2.2356,2.1218,1.9462,1.7220,1.9399,1.8322
1231,94.6,1.9313,1.9518,1.7759,1.5868,1.6522,1.6812,1.7383,1.8530,1.8711,1.7931,1.8217,2.6163,1.8071,1.8268,1.8568,2.1842,1.8618,1.7349,2.0225,2.0369,1.9247,1.7819,1.8865,1.8019
1232,98.7,1.7680,1.8383,1.8012,1.7249,1.8659,1.7490,1.8446,1.9040,1.7234,1.7529,1.7875,2.5141,1.8460,1.8773,2.0787,2.2104,1.9060,2.2623,2.0997,1.9429,1.8292,1.7359,1.8431,1.6861
1233,102.8,1.6236,1.6711,1.6108,1.5403,1.5016,1.5185,1.5635,1.6121,1.5943,1.5263,1.5764,2.3289,1.6214,1.6179,1.6390,1.8583,1.6477,1.5376,1.6056,1.7102,1.5435,1.5038,1.5422,1.4878
1234,106.9,1.6034,1.6954,1.5369,1.5253,1.5328,1.5182,1.5080,1.5803,1.6104,1.6123,1.5545,2.3094,1.5760,1.5591,1.6223,1.8869,1.6549,1.5304,1.8380,1.7496,1.6465,1.4843,1.7291,1.5677
1235,111.0,1.6045,1.6483,1.7078,1.4958,1.6109,1.5886,1.6544,1.5628,1.5910,1.4695,1.5091,2.3278,1.6209,1.5949,1.6142,1.7860,1.6075,1.5121,1.5994,1.6424,1.4978,1.4504,1.5095,1.4695
1236,115.1,1.6346,1.7225,1.7503,1.5224,1.6213,1.5638,1.7584,1.6785,1.5965,1.5597,1.5961,2.4204,1.9834,1.8945,1.7315,1.8608,1.6580,1.5843,1.6346,1.7274,1.6575,1.5554,1.6215,1.5532
1237,119.3,1.5923,1.6326,1.5892,1.4728,1.4958,1.5224,1.5346,1.5538,1.5718,1.4496,1.5104,2.3309,1.5890,1.5721,1.6120,1.8298,1.6315,1.5096,1.5965,1.6899,1.5356,1.4462,1.5184,1.4823
1238,123.4,1.8238,1.8802,1.6360,1.5700,1.7153,1.6175,1.6056,1.7683,1.8904,1.6604,1.7123,2.3717,1.6452,1.7326,1.8682,2.0259,1.7624,1.6953,1.8636,1.8022,1.7066,1.5855,1.7562,1.7581
1239,127.5,1.6155,1.6473,1.4785,1.5481,1.7509,1.7063,1.4483,1.5353,1.5903,1.5174,1.5152,2.1746,1.4588,1.5119,1.5667,1.7284,1.5583,1.3933,1.5440,1.6177,1.5955,1.5628,1.4920,1.4888
1240,131.6,1.5474,1.5973,1.4008,1.4451,1.5620,1.4881,1.3923,1.5427,1.5628,1.4609,1.4558,2.0785,1.4196,1.4604,1.5359,1.7002,1.5606,1.4360,1.5218,1.5443,1.4723,1.3728,1.4304,1.4507
1241,135.7,1.4723,1.5183,1.3976,1.4688,1.5632,1.5277,1.3847,1.5199,1.4650,1.3850,1.4293,2.0914,1.3838,1.4587,1.5738,1.7409,1.5139,1.5232,1.6353,1.5789,1.5250,1.4069,1.4565,1.3628
1242,139.8,1.6397,1.6139,1.4534,1.4622,1.5316,1.4976,1.4400,1.4917,1.6138,1.5068,1.5100,2.2014,1.4200,1.4743,1.5474,1.7991,1.5526,1.4315,1.5453,1.6335,1.5503,1.4694,1.5030,1.4789
1243,143.9,1.5683,1.5909,1.4611,1.3953,1.4263,1.4168,1.4361,1.5008,1.5437,1.4296,1.4670,2.2725,1.4495,1.4808,1.5532,1.8202,1.5718,1.5064,1.5337,1.6020,1.4764,1.3590,1.4661,1.4072
1244,148.0,1.6983,1.6941,1.5429,1.4817,1.5123,1.4851,1.4823,1.5964,1.7465,1.5456,1.5555,2.3652,1.5681,1.5839,1.6445,1.9292,1.7456,1.6002,1.7121,1.7553,1.6305,1.5247,1.5659,1.5360
1245,152.2,1.8423,1.9045,1.7422,1.7279,1.7731,1.7533,1.7036,1.8305,1.8053,1.7060,1.7480,2.7412,1.7299,1.7801,1.8875,2.1725,1.9248,1.7342,1.8928,1.9282,1.7850,1.6673,1.7517,1.6915
1246,156.3,1.8086,1.8708,1.7458,1.7792,1.8073,1.7909,1.7380,1.8097,1.8096,1.6770,1.7238,2.6469,1.6911,1.7334,1.8445,2.1214,1.8448,1.6800,1.8304,1.8765,1.7567,1.6168,1.7057,1.6370
1247,160.4,1.5748,1.6332,1.4813,1.4989,1.5601,1.5100,1.4662,1.6040,1.5746,1.4685,1.5332,2.3133,1.5095,1.5263,1.6420,1.8867,1.6628,1.6679,1.7141,1.6798,1.5476,1.4226,1.5404,1.4546
1248,164.5,1.5289,1.5931,1.6000,1.5569,1.5771,1.5589,1.6071,1.6219,1.4843,1.4510,1.5166,2.2369,1.5515,1.5765,1.6681,1.8598,1.6354,1.5821,1.6368,1.6562,1.5603,1.4259,1.5593,1.4342
1249,168.6,1.5295,1.5852,1.4588,1.4039,1.4664,1.4545,1.4658,1.5196,1.5304,1.4331,1.4495,2.2460,1.4962,1.5011,1.5611,1.7824,1.5888,1.4303,1.5963,1.6132,1.4846,1.3910,1.4692,1.4173
1250,172.7,1.5862,1.6249,1.5255,1.4215,1.4609,1.4332,1.5165,1.5613,1.5684,1.4522,1.4946,2.2567,1.4783,1.5022,1.5739,1.7986,1.5876,1.4105,1.6121,1.6318,1.5229,1.4013,1.5114,1.4790
1251,176.8,1.6348,1.6575,1.5150,1.5004,1.6024,1.5600,1.4978,1.6104,1.6535,1.5025,1.5581,2.2105,1.6006,1.6112,1.6497,1.8267,1.6584,1.5688,1.7073,1.6441,1.5632,1.5077,1.5808,1.4934
1252,180.9,1.6199,1.6296,1.6184,1.5929,1.5557,1.5965,1.4925,1.5440,1.6386,1.5287,1.5251,2.2355,1.5425,1.5710,1.5694,1.7656,1.6149,1.3985,1.5885,1.6717,1.5870,1.5235,1.5382,1.5020
1253,185.1,1.6711,1.6993,1.7254,1.6097,1.6081,1.5865,1.6563,1.6759,1.7089,1.5864,1.5678,2.2662,1.5440,1.5499,1.6369,1.8708,1.6731,1.5391,1.7107,1.7024,1.6185,1.5812,1.5845,1.5803
1254,189.2,1.8535,1.9320,1.7619,1.6961,1.6872,1.6929,1.8260,1.9024,1.8954,1.7368,1.7871,2.2575,2.0099,1.9314,1.8840,1.9838,1.7309,1.7194,1.8718,1.7580,1.7294,1.6424,1.7938,1.8700
1255,193.3,1.5100,1.5663,1.4347,1.3339,1.3296,1.3378,1.4479,1.5419,1.4900,1.4249,1.4671,2.1265,1.5270,1.5156,1.5834,1.7555,1.5627,1.5896,1.6352,1.6069,1.5409,1.4319,1.5019,1.4379
1256,197.4,1.6116,1.7132,1.9555,1.6811,1.4968,1.5096,1.7991,1.7492,1.6563,1.5509,1.6567,2.0517,1.6550,1.7478,1.7608,1.8061,1.6054,1.5813,1.7144,1.5750,1.5686,1.4964,1.6924,1.7029
1257,201.5,1.4755,1.5309,1.3624,1.3546,1.4603,1.4415,1.3863,1.5448,1.5125,1.4131,1.4855,2.1006,1.4041,1.4672,1.6259,1.7523,1.5867,1.5989,1.6737,1.5636,1.4913,1.4310,1.5474,1.4808
1258,205.6,1.4566,1.5365,1.3908,1.5132,1.5552,1.5496,1.3693,1.5122,1.4611,1.3494,1.4463,2.1272,1.3919,1.4568,1.5679,1.7334,1.5131,1.4246,1.5580,1.5195,1.4056,1.2891,1.5005,1.4191
1259,209.7,1.5477,1.5935,1.4421,1.4272,1.5463,1.5203,1.4509,1.5419,1.5676,1.4613,1.4687,2.1373,1.5572,1.5050,1.5930,1.7354,1.6192,1.5507,1.6121,1.5826,1.4956,1.4279,1.4868,1.4847
1260,213.8,1.5149,1.5950,1.4137,1.3841,1.5002,1.4632,1.4028,1.5332,1.5695,1.5000,1.4719,2.1524,1.4515,1.4750,1.5236,1.7368,1.5903,1.4735,1.5548,1.6049,1.5143,1.4700,1.4669,1.4502
1261,218.0,1.5266,1.6001,1.4366,1.4459,1.4923,1.4385,1.4549,1.5676,1.5683,1.4503,1.5065,2.1628,1.5350,1.5376,1.5564,1.7654,1.5924,1.4765,1.6038,1.6192,1.5234,1.4356,1.5183,1.4878
1262,222.1,1.5400,1.6525,1.4249,1.4611,1.4342,1.4137,1.4177,1.5727,1.6391,1.5581,1.6160,2.0463,1.5155,1.5295,1.7118,1.9075,1.6869,1.9197,1.7730,1.6219,1.5402,1.4802,1.6193,1.7628
1263,226.2,1.4011,1.4843,1.4140,1.3652,1.4751,1.4114,1.3563,1.4890,1.4284,1.3794,1.4256,2.0591,1.3345,1.4351,1.5852,1.7422,1.5703,1.5083,1.5614,1.5485,1.4249,1.3408,1.4401,1.3802
1264,230.3,1.4134,1.4836,1.3632,1.3220,1.4035,1.3327,1.3630,1.4687,1.3976,1.3780,1.4294,1.9726,1.4333,1.4368,1.4730,1.6446,1.4428,1.3537,1.4621,1.4825,1.4037,1.3662,1.3958,1.3488
1265,234.4,1.3506,1.4141,1.3334,1.2447,1.2818,1.2735,1.3037,1.4036,1.3167,1.3060,1.3644,1.9261,1.4116,1.3920,1.4324,1.6108,1.3868,1.3277,1.5015,1.4343,1.3431,1.2769,1.3998,1.2974
1266,238.5,1.2854,1.3758,1.3150,1.3120,1.3256,1.3422,1.2811,1.3324,1.3602,1.2640,1.3007,1.8983,1.3133,1.3316,1.3619,1.5640,1.3683,1.2425,1.3586,1.4041,1.2804,1.2051,1.2919,1.2613
1267,242.6,1.4247,1.5185,1.4970,1.5142,1.4778,1.5165,1.5209,1.5586,1.5054,1.5051,1.5157,1.8848,1.6503,1.6119,1.6371,1.7212,1.5491,1.5943,1.6358,1.5283,1.4938,1.5219,1.5155,1.5290
1268,246.7,1.5281,1.5793,1.4209,1.3562,1.4126,1.4422,1.3663,1.4714,1.6503,1.4893,1.4651,1.8992,1.4792,1.4770,1.5597,1.6769,1.5176,1.4767,1.5902,1.5234,1.5395,1.5002,1.5265,1.5663
1269,250.9,1.3621,1.4462,1.4116,1.4100,1.3638,1.4259,1.4225,1.4691,1.4231,1.3358,1.3902,1.9169,1.3798,1.4002,1.4659,1.6507,1.4542,1.4217,1.6023,1.5097,1.4812,1.3468,1.4858,1.4064
1270,255.0,1.3948,1.4666,1.4230,1.4270,1.3406,1.3772,1.4544,1.4724,1.4453,1.3424,1.4022,2.0309,1.5737,1.5286,1.4788,1.6732,1.4594,1.4252,1.4776,1.5084,1.4070,1.3097,1.4192,1.4066
1271,259.1,1.3454,1.4234,1.2807,1.2675,1.3263,1.3511,1.2943,1.3797,1.4129,1.3092,1.3501,2.0258,1.4343,1.4099,1.3949,1.6224,1.4282,1.3588,1.4255,1.4857,1.3742,1.2777,1.3215,1.3001
1272,263.2,1.5445,1.6253,1.3941,1.3139,1.3659,1.3348,1.4396,1.6561,1.6098,1.5628,1.5619,2.0655,1.6228,1.6042,1.6610,1.7875,1.6403,1.5795,1.6763,1.6622,1.6820,1.5347,1.5611,1.5490
1273,267.3,1.3814,1.4436,1.2918,1.3274,1.5643,1.4462,1.2707,1.3667,1.4130,1.5790,1.3963,1.9526,1.3210,1.3221,1.3629,1.5117,1.4325,1.2621,1.3924,1.4821,1.4244,1.3215,1.3548,1.3358
1274,271.4,1.4199,1.4769,1.3323,1.3917,1.4998,1.4108,1.2906,1.4036,1.4405,1.5696,1.4307,1.9433,1.4126,1.4090,1.4360,1.5598,1.4475,1.4015,1.4675,1.4979,1.4722,1.4049,1.4224,1.4037
1275,275.5,1.3774,1.4477,1.2834,1.4011,1.4336,1.4777,1.3251,1.4434,1.4760,1.3933,1.4154,1.9157,1.2948,1.3348,1.5048,1.6207,1.4607,1.4468,1.5200,1.5111,1.4124,1.3451,1.4089,1.3672
1276,279.6,1.3836,1.4284,1.3699,1.3936,1.3949,1.4191,1.3384,1.3818,1.5514,1.3704,1.3574,1.9809,1.3934,1.3696,1.3812,1.5580,1.4574,1.2806,1.4240,1.4651,1.3370,1.2683,1.3214,1.3461
1277,283.8,1.5183,1.6049,1.5006,1.5192,1.5751,1.5995,1.4382,1.5541,1.6566,1.5525,1.5665,2.1073,1.5910,1.5972,1.6395,1.8429,1.6710,1.4823,1.6679,1.6622,1.5163,1.4403,1.5206,1.5498
1278,287.9,1.4276,1.5163,1.5592,1.5409,1.6442,1.6431,1.5021,1.4895,1.4964,1.4062,1.4545,2.1151,1.5275,1.4972,1.5267,1.6890,1.5674,1.5020,1.5345,1.5795,1.4644,1.4275,1.4517,1.4254
1279,292.0,1.4367,1.5315,1.4421,1.5157,1.5563,1.5136,1.4463,1.5932,1.4809,1.4680,1.5522,2.0970,1.4713,1.5165,1.6473,1.8119,1.5846,1.5960,1.7309,1.6462,1.5827,1.4680,1.6180,1.4966
1280,296.1,1.4844,1.6159,1.4548,1.4579,1.4251,1.4381,1.4553,1.6122,1.5650,1.4869,1.5662,2.1654,1.5237,1.5394,1.6544,1.7896,1.6254,1.5300,1.6888,1.6392,1.5023,1.4174,1.5156,1.4603
1281,300.2,1.4654,1.5749,1.5222,1.4887,1.4555,1.4952,1.5069,1.5805,1.5210,1.4442,1.5138,2.2684,1.5640,1.5682,1.6347,1.7784,1.6485,1.5663,1.6326,1.6523,1.4917,1.3856,1.4934,1.4458
1282,304.3,1.6058,1.6847,1.5208,1.5576,1.4915,1.5399,1.5531,1.6814,1.7156,1.5586,1.5953,2.3858,1.6520,1.6437,1.7070,1.8417,1.7464,1.6481,1.7502,1.7481,1.5660,1.4891,1.5873,1.6041
1283,308.4,1.5703,1.6310,1.4680,1.4661,1.4955,1.4536,1.4734,1.5978,1.6121,1.4897,1.5152,2.3363,1.4689,1.4768,1.5744,1.7830,1.6354,1.4479,1.6408,1.7022,1.5320,1.4316,1.5186,1.4774
